N,status,M,a_size,b_size,A,B,ratio_classes,dfs_nodes,mis_cache,mis_nodes,seconds
1,exact,1,1,1,[1],[1],0,3,1,1,4.666e-06
2,exact,2,1,2,[1],[1 2],1,5,2,4,4.333e-06
3,exact,4,2,2,[1 2],[1 3],3,13,5,15,6.667e-06
4,exact,6,2,3,[1 2],[1 3 4],5,29,11,43,8.459e-06
5,exact,9,3,3,[1 2 3],[1 4 5],9,61,26,122,1.8333e-05
6,exact,12,4,3,[1 2 3 4],[1 5 6],11,81,35,279,2.4583e-05
7,exact,16,4,4,[1 2 3 4],[1 5 6 7],17,173,73,577,3.675e-05
8,exact,20,5,4,[1 2 3 4 6],[1 5 7 8],21,297,134,1382,6.5667e-05
9,exact,25,5,5,[1 2 3 4 6],[1 5 7 8 9],27,511,232,2678,0.000112625
10,exact,28,7,4,[1 2 3 4 5 6 8],[1 7 9 10],31,1021,476,7870,0.000248833
11,exact,35,7,5,[1 2 3 4 5 6 8],[1 7 9 10 11],41,1859,879,14767,0.000479792
12,exact,40,8,5,[1 2 3 4 5 6 8 12],[1 7 9 10 11],45,2385,1131,25209,0.000704209
13,exact,48,8,6,[1 2 3 4 5 6 8 12],[1 7 9 10 11 13],57,4645,2252,52352,0.001503
14,exact,50,10,5,[1 2 3 4 5 6 7 8 10 12],[1 9 11 13 14],63,8467,4118,127710,0.003217
15,exact,55,11,5,[1 2 3 4 5 6 7 8 9 10 12],[1 11 13 14 15],71,15031,7357,313201,0.00692779
16,exact,60,12,5,[1 2 3 4 5 6 7 8 9 10 12 14],[1 11 13 15 16],79,25383,12463,611507,0.0135085
17,exact,72,12,6,[1 2 3 4 5 6 7 8 9 10 12 14],[1 11 13 15 16 17],95,36239,17825,833109,0.0199385
18,exact,78,13,6,[1 2 3 4 5 6 7 8 9 10 12 14 18],[1 11 13 15 16 17],101,58969,29106,1813544,0.0399567
19,exact,91,13,7,[1 2 3 4 5 6 7 8 9 10 12 14 18],[1 11 13 15 16 17 19],119,87417,43227,2542387,0.0655144
20,exact,98,14,7,[1 2 3 4 5 6 7 8 9 10 12 14 18 20],[1 11 13 15 16 17 19],127,140655,69716,5424486,0.129168
21,exact,105,15,7,[1 2 3 4 5 6 7 8 9 10 12 14 15 16 18],[1 11 13 17 19 20 21],139,199927,99279,9604653,0.240748
22,exact,105,15,7,[1 2 3 4 5 6 7 8 9 10 12 14 15 16 18],[1 11 13 17 19 20 21],149,469477,233685,31663399,0.741369
23,exact,120,15,8,[1 2 3 4 5 6 7 8 9 10 12 14 15 16 18],[1 11 13 17 19 20 21 23],171,747669,372295,48110525,1.1959
24,exact,128,16,8,[1 2 3 4 5 6 7 8 9 10 12 14 15 16 18 24],[1 11 13 17 19 20 21 23],179,982619,489471,82419771,1.88086
25,exact,144,18,8,[1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 18 20 24],[1 13 17 19 21 22 23 25],199,1195319,595351,95779109,2.4691
26,exact,144,18,8,[1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 18 20 24],[1 13 17 19 21 22 23 25],211,2838693,1415119,300081423,6.68085
27,exact,153,17,9,[1 2 3 4 5 6 7 8 9 10 12 14 15 18 20 21 24],[1 11 13 16 17 19 23 25 27],229,6096943,3041596,718996674,15.3256
28,exact,162,18,9,[1 2 3 4 5 6 7 8 9 10 11 12 15 16 18 20 21 24],[1 13 17 19 22 23 25 27 28],241,7766743,3875401,1089560989,23.8405
29,exact,180,20,9,[1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 18 20 21 22 24],[1 17 19 23 25 26 27 28 29],269,13783261,6878997,1766490057,41.0962
30,exact,190,19,10,[1 2 3 4 5 6 7 8 9 10 11 12 15 16 18 20 21 24 30],[1 13 17 19 22 23 25 27 28 29],277,16482315,8227581,2736850955,59.2983
31,exact,210,21,10,[1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 18 20 21 22 24 30],[1 17 19 23 25 26 27 28 29 31],307,26361549,13158613,3889383183,93.985
32,exact,220,22,10,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 20 21 22 24 28 30],[1 17 19 23 25 26 27 29 31 32],323,44005049,21970191,8295751831,197.268
33,exact,231,21,11,[1 2 3 4 5 6 7 8 9 10 11 12 14 15 18 20 21 24 28 30 33],[1 13 17 19 22 23 25 27 29 31 32],343,56186125,28057572,13283784364,405.945
34,exact,231,21,11,[1 2 3 4 5 6 7 8 9 10 11 12 14 15 18 20 21 24 28 30 33],[1 13 17 19 22 23 25 27 29 31 32],359,233619951,116680943,73383917397,1396.12
35,exact,242,22,11,[1 2 3 4 5 6 7 8 9 10 11 12 14 15 18 20 24 27 28 30 33 35],[1 13 17 19 21 22 23 25 29 31 32],383,242709130,121256655,92924821141,2054.67
